secid,date,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,low,high,open,close,volume,return,cfadj,shrout,cfret
101594,20180725,03783310,AAPL,3571,0,4,,0,314,192.43,194.85,193.0602,194.82,16826483,0.00943,28,4915140,31.48447
101594,20180726,03783310,AAPL,3571,0,4,,0,314,193.61,195.96,194.61,194.21,19075964,-0.003131,28,4915140,31.48447
101594,20180727,03783310,AAPL,3571,0,4,,0,314,190.1,195.19,194.99,190.98,24023972,-0.016632,28,4915140,31.48447
101594,20180730,03783310,AAPL,3571,0,4,,0,314,189.07,192.2,191.9,189.91,21029535,-0.005603,28,4915140,31.48447
101594,20180731,03783310,AAPL,3571,0,4,,0,314,189.34,192.14,190.3,190.29,39373038,0.002001,28,4915140,31.48447
101594,20180801,03783310,AAPL,3571,0,4,,0,314,197.31,201.76,199.13,201.5,67935716,0.05891,28,4915140,31.48447
101594,20180802,03783310,AAPL,3571,0,4,,0,314,200.35,208.38,200.58,207.39,62404012,0.029231,28,4829930,31.48447
101594,20180803,03783310,AAPL,3571,0,4,,0,314,205.4803,208.74,207.03,207.99,33447396,0.002893,28,4829930,31.48447
101594,20180806,03783310,AAPL,3571,0,4,,0,314,207.07,209.25,208,209.07,25425387,0.005193,28,4829930,31.48447
101594,20180807,03783310,AAPL,3571,0,4,,0,314,206.76,209.5,209.32,207.11,25587387,-0.009375,28,4829930,31.48447
101594,20180808,03783310,AAPL,3571,0,4,,0,314,204.52,207.81,206.05,207.25,22525487,0.000676,28,4829930,31.48447
101594,20180809,03783310,AAPL,3571,0,4,,0,314,207.2,209.78,207.28,208.88,23492626,0.007865,28,4829930,31.48447
101594,20180810,03783310,AAPL,3571,0,4,,0,314,206.67,209.1,207.36,207.53,24611202,-0.002968,28,4829930,31.59522
101594,20180813,03783310,AAPL,3571,0,4,,0,314,207.7,210.952,207.7,208.87,25890880,0.006457,28,4829930,31.59522
101594,20180814,03783310,AAPL,3571,0,4,,0,314,208.26,210.56,210.155,209.75,20748010,0.004213,28,4829930,31.59522
101594,20180815,03783310,AAPL,3571,0,4,,0,314,208.33,210.74,209.22,210.24,28807564,0.002336,28,4829930,31.59522
101594,20180816,03783310,AAPL,3571,0,4,,0,314,211.47,213.8121,211.75,213.32,28500367,0.01465,28,4829930,31.59522
101594,20180817,03783310,AAPL,3571,0,4,,0,314,213.16,217.95,213.44,217.58,35426997,0.01997,28,4829930,31.59522
101594,20180820,03783310,AAPL,3571,0,4,,0,314,215.11,219.18,218.1,215.46,30287695,-0.009744,28,4829930,31.59522
101594,20180821,03783310,AAPL,3571,0,4,,0,314,214.025,217.19,216.8,215.04,26159755,-0.001949,28,4829930,31.59522
101594,20180822,03783310,AAPL,3571,0,4,,0,314,213.84,216.36,214.1,215.05,19018131,0.000047,28,4829930,31.59522
101594,20180823,03783310,AAPL,3571,0,4,,0,314,214.6,217.05,214.65,215.49,18883224,0.002046,28,4829930,31.59522
101594,20180824,03783310,AAPL,3571,0,4,,0,314,215.11,216.9,216.6,216.16,18476356,0.003109,28,4829930,31.59522
101594,20180827,03783310,AAPL,3571,0,4,,0,314,216.33,218.74,217.15,217.94,20525117,0.008235,28,4829930,31.59522
101594,20180828,03783310,AAPL,3571,0,4,,0,314,218.92,220.54,219.01,219.7,22776766,0.008076,28,4829930,31.59522
101594,20180829,03783310,AAPL,3571,0,4,,0,314,219.41,223.49,220.15,222.98,27254804,0.014929,28,4829930,31.59522
101594,20180830,03783310,AAPL,3571,0,4,,0,314,222.4,228.26,223.25,225.03,48793824,0.009194,28,4829930,31.59522
